LOCATION,SUBJECT,TIME,Value
GRC,UPPSRY_NTRY,1992,62.721313
GRC,UPPSRY_NTRY,1993,62.319134
GRC,UPPSRY_NTRY,1994,62.40609
GRC,UPPSRY_NTRY,1995,63.395378
GRC,UPPSRY_NTRY,1996,63.955868
GRC,UPPSRY_NTRY,1997,64.180321
GRC,UPPSRY_NTRY,1998,65.684105
GRC,UPPSRY_NTRY,1999,64.562759
GRC,UPPSRY_NTRY,2000,64.586845
GRC,UPPSRY_NTRY,2001,65.132828
GRC,UPPSRY_NTRY,2002,65.38813
GRC,UPPSRY_NTRY,2003,66.923561
GRC,UPPSRY_NTRY,2004,68.190277
GRC,UPPSRY_NTRY,2005,68.716469
GRC,UPPSRY_NTRY,2006,69.702591
GRC,UPPSRY_NTRY,2007,69.457176
GRC,UPPSRY_NTRY,2008,69.799133
GRC,UPPSRY_NTRY,2009,68.413803
GRC,UPPSRY_NTRY,2010,66.384895
GRC,UPPSRY_NTRY,2011,61.992165
GRC,UPPSRY_NTRY,2012,57.122643
GRC,UPPSRY_NTRY,2013,54.066143
GRC,UPPSRY_NTRY,2014,54.498825
GRC,UPPSRY_NTRY,2015,56.401764
GRC,UPPSRY_NTRY,2016,58.112816
GRC,UPPSRY_NTRY,2017,59.319614
GRC,UPPSRY_NTRY,2018,60.870548
GRC,UPPSRY_NTRY,2019,62.335983
GRC,UPPSRY_NTRY,2020,62.153561
GRC,UPPSRY_NTRY,2021,62.988297
KOR,BUPPSRY,1995,71.089951
KOR,BUPPSRY,1997,71.178406
KOR,BUPPSRY,1998,66.097816
KOR,BUPPSRY,1999,66.867439
KOR,BUPPSRY,2000,68.110718
KOR,BUPPSRY,2001,67.900017
KOR,BUPPSRY,2002,68.4972
KOR,BUPPSRY,2003,66.622368
KOR,BUPPSRY,2004,66.74823
KOR,BUPPSRY,2005,65.956055
KOR,BUPPSRY,2006,66.259041
KOR,BUPPSRY,2007,66.028656
KOR,BUPPSRY,2008,66.184456
KOR,BUPPSRY,2009,65.052864
KOR,BUPPSRY,2010,65.05529
KOR,BUPPSRY,2011,65.297112
KOR,BUPPSRY,2012,65.353065
KOR,BUPPSRY,2013,65.500572
KOR,BUPPSRY,2014,66.36348
KOR,BUPPSRY,2015,65.891991
KOR,BUPPSRY,2016,65.544815
KOR,BUPPSRY,2017,65.798889
KOR,BUPPSRY,2018,64.728958
KOR,BUPPSRY,2019,63.626556
KOR,BUPPSRY,2020,61.423512
KOR,BUPPSRY,2021,61.157108
EST,BUPPSRY,1997,47.446205
EST,BUPPSRY,1998,47.671066
EST,BUPPSRY,1999,43.944023
EST,BUPPSRY,2000,39.802414
EST,BUPPSRY,2001,41.678741
EST,BUPPSRY,2002,40.552887
EST,BUPPSRY,2003,47.266415
EST,BUPPSRY,2004,51.586044
EST,BUPPSRY,2005,49.512119
EST,BUPPSRY,2006,55.081551
EST,BUPPSRY,2007,55.361004
EST,BUPPSRY,2008,57.425705
EST,BUPPSRY,2009,46.916954
EST,BUPPSRY,2010,45.019768
EST,BUPPSRY,2011,48.561352
EST,BUPPSRY,2012,50.252663
EST,BUPPSRY,2013,57.934174
EST,BUPPSRY,2014,60.264725
EST,BUPPSRY,2015,57.987846
EST,BUPPSRY,2016,61.366207
EST,BUPPSRY,2017,65.3769
EST,BUPPSRY,2018,65.051361
EST,BUPPSRY,2019,62.385929
EST,BUPPSRY,2020,62.542736
EST,BUPPSRY,2021,64.107475
DEU,TRY,1989,84.208748
DEU,TRY,1991,85.013275
DEU,TRY,1992,84.653061
DEU,TRY,1994,83.358749
DEU,TRY,1995,84.151466
DEU,TRY,1997,82.290977
DEU,TRY,1998,82.210487
DEU,TRY,1999,82.973106
DEU,TRY,2000,83.401245
DEU,TRY,2001,83.424339
DEU,TRY,2002,83.558861
DEU,TRY,2003,82.973022
DEU,TRY,2004,82.653915
DEU,TRY,2005,82.865166
DEU,TRY,2006,84.33522
DEU,TRY,2007,85.467903
DEU,TRY,2008,85.819786
DEU,TRY,2009,86.414375
DEU,TRY,2010,86.929436
DEU,TRY,2011,87.853821
DEU,TRY,2012,87.890465
DEU,TRY,2013,87.763885
DEU,TRY,2014,88.078751
DEU,TRY,2015,88.13018
DEU,TRY,2016,88.329994
DEU,TRY,2017,88.58493
DEU,TRY,2018,88.895027
DEU,TRY,2019,89.345268
DEU,TRY,2020,88.669289
DEU,TRY,2021,88.338303
DNK,BUPPSRY,1981,67.223839
DNK,BUPPSRY,1988,64.912277
DNK,BUPPSRY,1991,61.964344
DNK,BUPPSRY,1992,61.661186
DNK,BUPPSRY,1994,60.119549
DNK,BUPPSRY,1995,61.472237
DNK,BUPPSRY,1998,60.857647
DNK,BUPPSRY,1999,61.676125
DNK,BUPPSRY,2000,62.469681
DNK,BUPPSRY,2001,61.540264
DNK,BUPPSRY,2002,61.17897
DNK,BUPPSRY,2003,62.662125
DNK,BUPPSRY,2004,61.698513
DNK,BUPPSRY,2005,61.519829
DNK,BUPPSRY,2006,62.756851
DNK,BUPPSRY,2007,67.496246
DNK,BUPPSRY,2008,66.725883
DNK,BUPPSRY,2009,63.210625
DNK,BUPPSRY,2010,60.972359
DNK,BUPPSRY,2011,60.681927
DNK,BUPPSRY,2012,59.152397
DNK,BUPPSRY,2013,58.606014
DNK,BUPPSRY,2014,59.843922
DNK,BUPPSRY,2015,59.170334
DNK,BUPPSRY,2016,61.461666
DNK,BUPPSRY,2017,61.138855
DNK,BUPPSRY,2018,61.091515
DNK,BUPPSRY,2019,60.748222
DNK,BUPPSRY,2020,60.465584
DNK,BUPPSRY,2021,61.790646
FIN,UPPSRY_NTRY,2000,75.15316
FIN,UPPSRY_NTRY,2003,74.374451
FIN,UPPSRY_NTRY,2004,74.414146
FIN,UPPSRY_NTRY,2005,75.172165
FIN,UPPSRY_NTRY,2006,75.585205
FIN,UPPSRY_NTRY,2007,76.199265
FIN,UPPSRY_NTRY,2008,77.263542
FIN,UPPSRY_NTRY,2009,74.795975
FIN,UPPSRY_NTRY,2010,74.083595
FIN,UPPSRY_NTRY,2011,74.740028
FIN,UPPSRY_NTRY,2012,74.61618
FIN,UPPSRY_NTRY,2013,73.617867
FIN,UPPSRY_NTRY,2014,73.173897
FIN,UPPSRY_NTRY,2015,72.808609
FIN,UPPSRY_NTRY,2016,73.19838
FIN,UPPSRY_NTRY,2017,74.074074
FIN,UPPSRY_NTRY,2018,75.68013
FIN,UPPSRY_NTRY,2019,76.588898
FIN,UPPSRY_NTRY,2020,75.267929
FIN,UPPSRY_NTRY,2021,76.822716
NOR,UPPSRY_NTRY,1981,81.012032
NOR,UPPSRY_NTRY,1989,81.020592
NOR,UPPSRY_NTRY,1991,79.68972
NOR,UPPSRY_NTRY,1992,79.11924
NOR,UPPSRY_NTRY,1994,79.315414
NOR,UPPSRY_NTRY,1995,80.476761
NOR,UPPSRY_NTRY,2005,82.418602
NOR,UPPSRY_NTRY,2006,82.932518
NOR,UPPSRY_NTRY,2007,83.985168
NOR,UPPSRY_NTRY,2008,84.422836
NOR,UPPSRY_NTRY,2009,83.138901
NOR,UPPSRY_NTRY,2010,81.725609
NOR,UPPSRY_NTRY,2011,81.65596
NOR,UPPSRY_NTRY,2012,81.2173
NOR,UPPSRY_NTRY,2013,81.792572
NOR,UPPSRY_NTRY,2014,81.480118
NOR,UPPSRY_NTRY,2015,80.516129
NOR,UPPSRY_NTRY,2016,80.244171
NOR,UPPSRY_NTRY,2017,79.68779
NOR,UPPSRY_NTRY,2018,80.771706
NOR,UPPSRY_NTRY,2019,80.785126
NOR,UPPSRY_NTRY,2020,79.452942
NOR,UPPSRY_NTRY,2021,81.227379
SVK,BUPPSRY,1997,38.909092
SVK,BUPPSRY,1998,37.372425
SVK,BUPPSRY,1999,33.209339
SVK,BUPPSRY,2000,30.857649
SVK,BUPPSRY,2001,30.493593
SVK,BUPPSRY,2002,28.188423
SVK,BUPPSRY,2003,28.517904
SVK,BUPPSRY,2004,26.595428
SVK,BUPPSRY,2005,26.282099
SVK,BUPPSRY,2006,28.927097
SVK,BUPPSRY,2007,29.113235
SVK,BUPPSRY,2008,32.313751
SVK,BUPPSRY,2009,30.336721
SVK,BUPPSRY,2010,29.686049
SVK,BUPPSRY,2011,30.250757
SVK,BUPPSRY,2012,30.708851
SVK,BUPPSRY,2013,31.021057
SVK,BUPPSRY,2014,32.682098
SVK,BUPPSRY,2015,34.454655
SVK,BUPPSRY,2016,37.67197
SVK,BUPPSRY,2017,39.054001
SVK,BUPPSRY,2018,38.262417
SVK,BUPPSRY,2019,38.039867
SVK,BUPPSRY,2020,36.489971
SVK,BUPPSRY,2021,29.777237
USA,TRY,1981,84.16859
USA,TRY,1982,83.986917
USA,TRY,1983,83.326011
USA,TRY,1984,84.723388
USA,TRY,1985,84.864479
USA,TRY,1986,84.842372
USA,TRY,1987,85.446921
USA,TRY,1988,86.281388
USA,TRY,1989,85.790429
USA,TRY,1990,86.000577
USA,TRY,1991,85.27376
USA,TRY,1992,84.588264
USA,TRY,1993,84.041763
USA,TRY,1994,84.242874
USA,TRY,1995,85.099464
USA,TRY,1996,84.73156
USA,TRY,1997,85.401337
USA,TRY,1998,85.283928
USA,TRY,1999,84.621452
USA,TRY,2000,85.012268
USA,TRY,2001,83.946899
USA,TRY,2002,83.15535
USA,TRY,2003,82.210899
USA,TRY,2004,81.968559
USA,TRY,2005,82.493523
USA,TRY,2006,82.736015
USA,TRY,2007,83.325432
USA,TRY,2008,83.107628
USA,TRY,2009,80.772552
USA,TRY,2010,80.030045
USA,TRY,2011,79.954567
USA,TRY,2012,80.139328
USA,TRY,2013,80.374336
USA,TRY,2014,80.113396
USA,TRY,2015,81.183861
USA,TRY,2016,81.607964
USA,TRY,2017,81.797844
USA,TRY,2018,82.208473
USA,TRY,2019,82.679253
USA,TRY,2020,81.856888
USA,TRY,2021,80.604126
RUS,UPPSRY_NTRY,2010,72.091026
RUS,UPPSRY_NTRY,2011,71.508369
RUS,UPPSRY_NTRY,2012,72.429832
RUS,UPPSRY_NTRY,2013,71.482208
RUS,UPPSRY_NTRY,2014,71.492508
RUS,UPPSRY_NTRY,2015,71.393967
RUS,UPPSRY_NTRY,2016,71.516251
RUS,UPPSRY_NTRY,2017,72.559456
RUS,UPPSRY_NTRY,2018,73.475655
EST,TRY,1997,82.90313
EST,TRY,1998,81.731743
EST,TRY,1999,80.856842
EST,TRY,2000,79.529953
EST,TRY,2001,80.241455
EST,TRY,2002,81.788887
EST,TRY,2003,80.226974
EST,TRY,2004,82.077957
EST,TRY,2005,84.110771
EST,TRY,2006,87.644783
EST,TRY,2007,87.263184
EST,TRY,2008,85.838882
